植物名（流通名）,学名,英名・別名,科名・属名,原産地,耐陰性（日照条件）,耐寒性（越冬温度）,耐暑性・耐湿性,推奨置き場所,水やりの頻度,季節ごとの注意点,好む湿度・葉霧,栽培難易度,分類,開花・見頃時期,花・実・葉の色,最大成長サイズ,成長スピード,適した土のタイプ,植え替え時期・周期,肥料の与え方,かかりやすい病気,つきやすい害虫,病害虫の対策・薬剤,剪定・切り戻し,ペット・子供への安全性,インテリアスタイル,機能性・効果,風水・花言葉,ギフト適性,仕入れルート・季節性,店舗陳列場所,価格帯（目安）,
ブルーベリー(インディゴブルー),Vaccinium 'Indigo Blue',Highbush Blueberry / インディゴブルー,ツツジ科スノキ属,北アメリカ（原種）,低（日向必須）,-15℃以上（極めて寒さに強い）,強い / 普通（西日・乾燥を避ける）,庭 / ベランダ,土が乾いたらたっぷり（水切れに非常に弱い）,酸性土壌（ブルーベリー専用土）が必須。夏場の水切れは厳禁。,普通,初心者向け,落葉性〜半常緑低木,4月（花）、6月〜8月（実）、11月（紅葉）,花：白〜淡ピンク（釣鐘型）、実：濃紺（果粉）,樹高1m〜1.5m,普通,酸性土壌必須（ブルーベリー専用土・ピートモス主体）,冬の落葉期（12〜2月）、2年に1回,3月、10月にブルーベリー専用肥料または有機質肥料,特になし,鳥害（実を食害される）,実が色づいたら鳥よけネットを張るのが最も効果的。,冬の休眠期に、古い枝や細い枝を間引いて株元に光を当てる。,安全（果実は食用、犬猫にも安全）,北欧 / ナチュラル / カントリー,美味しい果実の収穫 / 秋の鮮やかな紅葉,花言葉「知性」「信頼」「実りのある人生」,出産祝い（記念樹） / 子供のいる家庭へのギフト,春夏のみ（落葉苗は冬、実付きは初夏に流通）,屋外・果樹コーナー,"4号鉢：1,200円 / 7号実付き鉢：5,800円",
ブラックベリー,Rubus fruticosus,Blackberry,バラ科キイチゴ属,ヨーロッパ・北アメリカ,中（半日陰OK）〜低,-10℃以上（非常に頑強）,強い / 強い,庭 / ベランダ（フェンス・オベリスク）,土が乾いたらたっぷり,つる性（シュート）が旺盛に伸びるため、誘引必須。トゲなし品種が扱いやすい。,普通,初心者向け,落葉性つる性低木,5月〜6月（花）、6月〜7月（実）,花：白〜淡ピンク、実：赤から完熟すると黒へ,つるの長さ1.5m〜3m,早い,一般的な培養土、果樹の土,冬の落葉期（12〜2月）、1〜2年に1回,3月に緩効性肥料、6月に追肥を与える,灰色かび病（実の過湿時）,コガネムシ（成虫・幼虫）,風通しを良くし、実が熟したら雨に当てない工夫をする。,冬に「今年実がなった古い枝」を根元から切り、新しい枝を残す。,安全（食用ハーブ、トゲあり種は怪我注意）,ナチュラル / カントリー / ジャンクガーデン,ジャムや果実の収穫 / カントリーなお庭の演出,花言葉「あなたと共に」「孤独」「羨望」,家庭菜園を始めたい方へのギフト,春夏のみ（春〜初夏に苗・果実付きが流通）,屋外・つる植物・果樹コーナー,"3号ポット：500円 / 5号フェンス仕立て：2,800円",
ジャボチカバ,Plinia cauliflora,Jabuticaba,フトモモ科ジャボチカバ属,ブラジル原産,中（半日陰OK）〜低,5℃以上（冬は室内管理推奨）,強い / 普通,庭 / ベランダ（夏） / 室内リビング（冬）,土が乾いたらたっぷり（水が大好き）,幹に直接花が咲き、巨峰のような実がなる。水切れに非常に弱い。,普通,中級者向け,常緑性低木〜中木,春〜秋（気温があると年に数回繰り返し開花・結実）,葉：小ぶりの濃緑、実：幹に直接なる黒紫の実,樹高1.5m〜3m（鉢植え管理時）,遅い,水はけと保水性の良い酸性土壌（ブルーベリーの土も可）,春（4〜5月）、2〜3年に1回,春〜秋の生育期に緩効性肥料を定期的にしっかり与える,特になし,特になし,病害虫には非常に強い。室内管理時はハダニに注意。,いつでも可。混み合った内向きの細い枝を間引く程度。,安全（果実は非常に美味、毒性なし）,アジアン / トロピカル / エキゾチック,唯一無二のユニークな結実の様子 / 絶品果実の収穫,花言葉「芳醇」「おだやか」,珍奇植物・エキゾチック果樹好きな方へ,スポット入荷（希少）,屋外・夏の果樹コーナー / 冬は室内窓際,"5号鉢：4,500円 / 8号大株（結実サイズ）：18,000円",
ストロベリーグァバ,Psidium cattleianum,Cattley guava / テリハバンジロウ,フトモモ科バンジロウ属,ブラジル原産,低（日向必須）,-5℃以上（関東以西はマルチングで屋外越冬可）,強い / 普通,庭 / ベランダ / 室内リビング（冬）,土が乾いたらたっぷり,葉に美しい光沢（照り葉）がある。結実期は水切れさせない。,普通,初心者向け,常緑性低木〜中木,5月〜6月（花）、9月〜11月（実）,葉：光沢のある濃緑、花：白、実：球形で赤く熟す,樹高1.5m〜3m,普通,一般的な培養土、果樹の土,春（3〜4月）、2年に1回,春〜秋に緩効性肥料を定期的（2ヶ月に1回）に施す,特になし,カイガラムシ・アブラムシ,風通しの良い日向に置くことで害虫を予防。,春の動く前（3月）に徒長枝を切り戻し、全体の樹形を整える。,安全（果実は食用、ビタミン豊富）,モダン / リゾート / ナチュラル,照り葉の美しさとイチゴ風味の南国フルーツの収穫,花言葉「強健」「優美」,お庭で果樹を育てたい方への新築祝い,スポット入荷（秋に実付きが流通）,屋外・果樹コーナー,"5号鉢：3,000円 / 7号鉢：7,000円",
ベンガレンシス,Ficus benghalensis,Bengal fig / フィカス・ベンガレンシス,クワ科フィカス属,インド・スリランカ,中（半日陰OK）〜低,5℃以上（室内冬越し）,強い / 普通,室内リビング / ベランダ（夏のみ）,土が乾いたらたっぷり（メリハリをつける）,冬場は成長が止まるため水やり頻度を落とす。エアコンの風は厳禁。,湿度好む（毎日葉霧）,初心者向け,常緑性高木,通年（葉の見頃）,葉：白い葉脈と、裏面の細かな白い毛（マットな質感）,樹高1m〜2.5m（室内サイズ）,早い,観葉植物の土（水はけ重視）,春〜初夏（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,乾燥するとハダニが出るため、毎日の葉水が最大の予防。,春（5〜6月）に伸びすぎた枝をカット。白い樹液に触れないこと。,注意（白い樹液はゴム成分のため、肌荒れやペットに注意）,モダン / 北欧 / インダストリアル / ナチュラル,どんなインテリアにも合う王道のインテリアグリーン,長寿・永遠の幸せ / 花言葉「永久の幸せ」「望みを叶える」,新築祝い / 開店祝い / 一人暮らし / 結婚祝い,通年安定（人気ナンバーワン）,室内・定番大鉢コーナー特設,"4号鉢：2,000円 / 8号曲がり：15,000円",
アルテシーマ,Ficus altissima,Ficus altissima / フィカス・アルテシーマ,クワ科フィカス属,東南アジア・インド,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング / ベランダ（夏のみ）,土が乾いたらたっぷり,日当たりが良いほど葉の黄色い斑（美斑）が鮮やかに出る。,湿度好む（毎日葉霧）,初心者向け,常緑性高木,通年（葉の見頃）,葉：鮮やかな明るいライムグリーンの斑入り、光沢あり,樹高1m〜2.5m,早い,観葉植物の土,春〜初夏（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,日当たりの良い窓際に置き、定期的に葉の表裏に葉水を行う。,春から初夏に剪定。ゴムの樹液で床を汚さないようビニールを敷く。,注意（ゴムの白い樹液に触れると痒みが出る危険あり）,モダン / 北欧 / ポップ / 明るいインテリア,お部屋をパッと明るくするライムカラーのリーフ効果,永遠の幸せ / 花言葉「永久の幸せ」「健やか」,新築祝い / 開店祝い / サロンへのギフト,通年安定（ベンガレンシスと並ぶ人気）,室内・定番大鉢コーナー最前線,"4号鉢：1,800円 / 8号曲がり：14,000円",
ウンベラータ,Ficus umbellata,Umbrella tree / フィカス・ウンベラータ,クワ科フィカス属,熱帯アフリカ,中（半日陰OK）〜低,8℃以上（寒さに少し弱い、暖かい室内へ）,強い / 普通,室内リビング（明るい窓際必須）,土が乾いたらたっぷり（水切れすると葉が垂れる）,他のゴムの木より葉が薄いため水切れと寒さに弱い。冬は暖かい場所へ。,湿度好む（毎日葉霧）,初心者向け,常緑性高木,通年（葉の見頃）,葉：大きなハート型の薄緑色の葉,樹高1m〜2.5m,極めて早い,観葉植物の土（保水性と水はけのバランス）,春〜初夏（5〜7月）、毎年〜2年に1回,春〜秋の生育期に緩効性肥料と、定期的な液肥,根腐れ・葉焼け（直射日光強すぎ時）,ハダニ・カイガラムシ・アブラムシ,乾燥に弱いため、エアコンの風を避け、毎日のしっかりした葉水が必須。,春〜初夏、成長が早いため大胆な切り戻し（丸坊主剪定）も可能。,注意（白い樹液はラテックスアレルギーの原因になるため注意）,北欧 / ナチュラル / カントリー / カフェ風,ハート型の大きな葉による絶大なリラックス効果・インテリア性,夫婦愛・永久の幸せ / 花言葉「すこやか」「永久の幸せ」「夫婦愛」,新築祝い / 結婚祝い / 出産祝い / 一人暮らし,通年安定（インテリアグリーンの絶対的定番）,室内・一等地ディスプレイエリア,"5号鉢：3,000円 / 8号S字曲がり：18,000円",
ベビーリーフ,Ficus elastica 'Baby Leaf',Ficus Baby leaf / フィカス・ベビーリーフ,クワ科フィカス属,熱帯アジア（園芸品種）,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング / ベランダ,土が乾いたらたっぷり,通常のインドゴムの木に比べて葉が小さく、密に茂るのが特徴。,普通,初心者向け,常緑性低木〜高木,通年（葉の見頃）,葉：小ぶりで肉厚、光沢のある濃緑色,樹高0.3m〜1.5m,普通,観葉植物の土,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,葉が密集しやすいため、風通しの良い場所に置く。,春に伸びすぎた枝を間引き、株内部の日当たりを確保する剪定。,注意（フィカス属共通の白い樹液に注意）,モダン / ナチュラル / ミニマル,コンパクトに飾れる上品なゴムの木,花言葉「永久の幸せ」「望みを叶える」,一人暮らし / デスクまわりのギフト,通年安定,室内・卓上〜中鉢コーナー,"3号鉢：800円 / 6号鉢：4,500円",
ルビギノーサ(フランスゴム),Ficus rubiginosa,Port Jackson fig / フランスゴムの木,クワ科フィカス属,オーストラリア東部,中（半日陰OK）〜低,5℃以上（比較的寒さに強い）,強い / 普通,室内リビング / ベランダ,土が乾いたらたっぷり,他のゴムの木より葉が小さく、枝がしなやかで曲げ木に仕立てやすい。,普通,初心者向け,常緑性高木,通年（葉の見頃）,葉：小ぶりで手のひらサイズ、濃緑（裏面がやや茶色を帯びる）,樹高0.5m〜2m,普通,観葉植物の土（水はけ重視）,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,耐陰性は高いが、できるだけ明るい窓際に置くと健康に育つ。,春〜夏、枝が細く伸びやすいため、こまめに剪定して形を整える。,注意（白い樹液に触れないよう注意）,北欧 / モダン / ナチュラル / ミニマル,曲がり仕立てのしなやかでスタイリッシュな佇まい,永遠の幸せ / 花言葉「永久の幸せ」「望みを叶える」,新築祝い / 一人暮らし / お洒落な男性へのギフト,通年安定（非常に人気が高い）,室内・デザイン鉢・中〜大鉢コーナー,"4号鉢：1,500円 / 7号曲がり：12,000円",
リラータ(カシワバゴム),Ficus lyrata,Fiddle-leaf fig / カシワバゴムの木,クワ科フィカス属,熱帯アフリカ西部,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング,土が乾いたらたっぷり（乾燥気味を好む）,葉が波打つように大きく頑強。水のやりすぎによる根腐れに注意。,乾燥好む,初心者向け,常緑性高木,通年（葉の見頃）,葉：カシワの葉に似た波打つ大型のバイオリン型、濃緑,樹高1m〜2.5m,普通,観葉植物の土（水はけ重視）,春（5〜6月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,大葉でホコリがたまりやすいため、定期的に湿った布で拭き葉水する。,春に剪定。葉が大きいため、切る位置で全体の印象が激変する。,注意（白い樹液に注意）,モダン / インダストリアル / スタイリッシュ,独特のゴツゴツした大葉による男前なインテリア性,花言葉「永久の幸せ」「望みを叶える」,開店祝い / 新築祝い / デザイナーズマンションへのギフト,通年安定,室内・大鉢・インダストリアルコーナー,"6号鉢：4,000円 / 8号直立ち：13,000円",
リラータ バンビーノ,Ficus lyrata 'Bambino',Bambino fiddle-leaf fig,クワ科フィカス属,熱帯アフリカ（園芸品種）,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング / ベランダ,土が乾いたらたっぷり（乾燥気味に）,,普通,初心者向け,常緑性低木〜中木,通年（葉の見頃）,葉：リラータをギュッと小さくコンパクトにした硬い葉,樹高0.3m〜1.2m,遅い,観葉植物の土（水はけ重視）,春（5〜6月）、2〜3年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,リラータ同様、葉のホコリを拭き取り、明るい場所で管理。,成長が遅いため頻繁な剪定は不要。伸びすぎた芽を摘む程度。,注意（白い樹液に注意）,モダン / ミニマル / 北欧,コンパクトで場所を取らないカシワバゴム,花言葉「永久の幸せ」「望みを叶える」,一人暮らし / 卓上・棚に飾るギフト,通年安定,室内・中鉢・卓上サイズコーナー,"4号鉢：1,800円 / 6号鉢：5,000円",
ベンジャミン,Ficus benjamina,Weeping fig / シダレガジュマル,クワ科フィカス属,インド・東南アジア,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング（明るい場所）,土が乾いたらたっぷり,環境の変化に敏感。置き場所を頻繁に変えると葉を一斉に落とす。,普通,中級者向け,常緑性高木,通年（葉の見頃）,葉：光沢のある小さな楕円形の葉が密生,樹高0.5m〜2.5m,早い,観葉植物の土,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,一度場所を決めたら動かさない。エアコンの直風は一発で葉が落ちる。,春〜夏に混み合った内側の枝を剪定して風通しを確保する。,注意（白い樹液に注意、ラテックスアレルギー注意）,モダン / クラシック / ナチュラル,編み込まれた幹（スタンド仕立て）などの端正な樹形,花言葉「永遠の愛」「結婚」「信頼」,新築祝い / 開店祝い / フォーマルなギフト,通年安定,室内・定番観葉コーナー,"5号鉢：2,500円 / 8号スタンド仕立て：15,000円",
ベンジャミン バロック,Ficus benjamina 'Barok',Curly benjamina / フィカス・バロック,クワ科フィカス属,熱帯アジア（園芸品種）,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング,土が乾いたらたっぷり,葉がくるくると綺麗に巻くには日当たりの良い窓際での管理がベスト。,普通,初心者向け,常緑性中木,通年（葉の見頃）,葉：すべての葉が内側にくるくると強く上品に巻く、新葉はライトグリーン,樹高0.3m〜1.8m,普通,観葉植物の土（水はけの良いもの）,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・アブラムシ・ハダニ,通常のベンジャミンより環境変化での落葉が少なく育てやすい。葉水推奨。,春先に伸びすぎた枝先をカットして、こんもりした樹形を維持する。,注意（白い樹液に注意）,北欧 / モダン / シャビーシック / フェミニン,くるくるした個性的で可愛い葉による抜群のインテリア性,花言葉「永遠の愛」「信頼」「家族の絆」,一人暮らし / 女性への誕生日祝い / 新築祝い,通年安定（インテリアグリーンとして大人気）,室内・デザイン鉢コーナー特設,"3.5号鉢：1,200円 / 7号鉢：8,800円",
ベンジャミンシタシオン,Ficus benjamina 'Sitacion',Ficus Sitacion,クワ科フィカス属,熱帯アジア（園芸品種）,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング,土が乾いたらたっぷり,バロックに似るが、葉の巻きが緩やかで、美しい白〜黄色の斑が入る。,普通,中級者向け,常緑性中木,通年（葉の見頃）,葉：緩やかにカーブし、外側に白い斑が綺麗に入る,樹高0.3m〜1.5m,普通,観葉植物の土,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,斑入り品種のため直射日光強すぎは葉焼け、日不足は斑が消える原因に。,春に形を整える剪定。斑が消えた緑一色の枝（先祖返り）は基部から切る。,注意（白い樹液に注意）,北欧 / シャビーシック / フレンチモダン,非常に上品で明るい斑入り葉のインテリア性,花言葉「永遠の愛」「信頼」,新築祝い / サロンへの開店祝い,スポット入荷（バロックより希少）,室内・斑入り観葉特設コーナー,"4号鉢：2,000円 / 6号鉢：6,500円",
アムステルダムキング,Ficus 'Amsterdam King',Narrow-leaf fig / ショウナンゴムの木（改良種）,クワ科フィカス属,熱帯アジア（原種）,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング / オフィス,土が乾いたらたっぷり,ショウナンゴムの木の改良品種で、葉が落ちにくく非常に頑強。,普通,初心者向け,常緑性高木,通年（葉の見頃）,葉：細長くしなやかな笹のような形のロングリーフ、光沢濃緑,樹高1.5m〜2.5m,早い,観葉植物の土,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,耐陰性が高くオフィスなどでも育てやすいが、窓際がベスト。葉水推奨。,成長して天井につくようになったら、春に芯を止める剪定を行う。,注意（白い樹液に注意）,モダン / アジアン / スタイリッシュ / 和モダン,涼しげでシャープな細葉による、圧迫感のない大型グリーン効果,花言葉「永久の幸せ」「すこやか」,開店祝い / 移転祝い / オフィスのシンボルグリーン,通年安定（オフィス需要高）,室内・大鉢・オフィスグリーンコーナー,"7号鉢：8,000円 / 10号大型：22,000円",
ミクロカルバ(ガジュマル),Ficus microcarpa,Chinese banyan / ガジュマル,クワ科フィカス属,沖縄・東南アジア・ミクロネシア,中（半日陰OK）〜低,5℃以上（室内管理、暖地は軒下越冬可）,強い / 強い（極めて頑強）,室内リビング / ベランダ（夏）,土が乾いたらたっぷり,独特の気根（肥大した幹）が魅力。日光が大好きなので窓際へ。,普通,初心者向け,常緑性高木,通年（葉の見頃）,葉：丸く肉厚で光沢のある濃緑、幹：ユニークに肥大した気根,樹高0.2m〜2m以上（サイズ豊富）,早い,観葉植物の土（水はけ重視）,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回、または液肥,根腐れ,カイガラムシ・ハダニ・アブラムシ,非常にタフだが日光不足だと葉が落ちる。しっかり日に当てる。,春〜初夏に伸びすぎた枝をどこからでもカット。丸坊主剪定も可能。,注意（白い樹液に注意）,モダン / アジアン /和モダン / ミニマル,「キジムナーが住む樹」としての圧倒的なオリエンタル感と親しみやすさ,健康・金運 / 花言葉「健康」「たくさんの幸せ」,一人暮らし / 記念日のプチギフト / 開店祝い,通年安定（定番中の定番）,室内・卓上ミニ盆栽〜大型曲がりまで各所,"3号ミニ：800円 / 8号大株曲がり：14,000円",
アフリカンプリンス,Ficus 'African Prince',African prince,クワ科フィカス属,熱帯アフリカ（保護植物）,中（半日陰OK）〜低,8℃以上（寒さに少し弱い、暖かい室内へ）,強い / 普通,室内リビング（明るい場所）,土が乾いたらたっぷり（乾燥気味に）,かつてアフリカ大統領が国外持ち出しを制限したとされる希少ゴムの木。暖かい場所へ。,普通,中級者向け,常緑性高木,通年（葉の見頃）,葉：波打つ大きな楕円形の葉、深い濃緑で圧倒的な高級感,樹高1m〜2.5m,普通,観葉植物の土（水はけと保水性の両立）,春（5〜6月）、2〜3年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,ウンベラータより葉が硬く頑強だが、寒さに弱いため冬の温度管理に注意。,春に剪定。希少なため、全体のバランスを見ながら慎重に切る。,注意（白い樹液に注意）,モダン / ラグジュアリー / インダストリアル,圧倒的なステータス感と大葉の高級インテリア性,花言葉「永久の幸せ」「長寿」,特別な開店祝い / 社長室・高級マンションへのギフト,スポット入荷（極めて希少・高価格帯）,室内・最高級大型観葉特設エリア,"8号鉢：18,000円 / 10号大株：35,000円",
レリジオーサ(インドボタイジュ),Ficus religiosa,Sacred fig / インド菩提樹,クワ科フィカス属,インド・東南アジア,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング / ベランダ（夏）,土が乾いたらたっぷり,お釈迦様がこの樹の下で悟りを開いたとされる聖なる樹。日光を好む。,普通,中級者向け,常緑性高木（冬季落葉することあり）,通年（葉の見頃）,葉：先端が長く尾状に伸びる美しいハート型、涼しげな薄緑,樹高0.5m〜2m,早い,観葉植物の土,春（5〜7月）、1〜2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,冬に寒さで葉が落ちることがあるが、生きていれば春にまた芽吹く。,春〜初夏に伸びすぎた枝を剪定。つるが伸びるような独特の樹形。,注意（白い樹液に注意）,アジアン / エキゾチック / オリエンタル / ミニマル,聖樹としてのスピリチュアルな背景と涼しげな葉の美しさ,仏教・神聖 / 花言葉「神聖」「夫婦愛」「結婚」,ヨガスタジオ・サロンへの開店祝い / 瞑想が趣味の方へ,スポット入荷（やや希少）,室内・エキゾチックグリーンコーナー,"5号鉢：3,500円 / 8号鉢：16,000円",
サリシフォリア,Ficus salicifolia,Willow-leaf fig / ベルベットフィカス,クワ科フィカス属,熱帯アフリカ〜アラビア半島,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング / 卓上・棚,土が乾いたらたっぷり,細い柳のような葉が特徴。ミニ観葉や盆栽仕立てにされることが多い。,普通,初心者向け,常緑性低木〜中木,通年（葉の見頃）,葉：細長くシャープ、涼しげな薄緑,樹高0.2m〜1.2m,普通,観葉植物の土（水はけ重視）,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を少量,根腐れ,カイガラムシ・ハダニ,水のやりすぎに注意しつつ、エアコンの風を避けて葉水を行う。,春〜夏にいつでも剪定可能。細かく枝分かれするため形を作りやすい。,注意（白い樹液に注意）,和モダン / ミニマル / 北欧,繊細で涼しげな細葉の盆栽風インテリア性,花言葉「永久の幸せ」,一人暮らし / 男性へのミニギフト / 盆栽愛好家へ,スポット入荷,室内・ミニ観葉・盆栽コーナー,"3号鉢：1,000円 / 5号鉢：3,800円",
トライアンギュラリス,Ficus triangularis 'Variegata',Sweetheart tree / フィカス・トライアンギュラリス,クワ科フィカス属,熱帯アフリカ,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング（明るい窓際）,土が乾いたらたっぷり,特に白斑入りの「バリエガータ」が人気。日照不足だと斑が薄くなる。,普通,中級者向け,常緑性低木〜中木,通年（葉の見頃）,葉：三角形（ハート型）の硬い葉、美しい白覆輪の斑入り,樹高0.3m〜1.5m,遅い,観葉植物の土（水はけ重視）,春（5〜7月）、2〜3年に1回,春〜秋の生育期に緩効性肥料を控えめに与える,根腐れ,カイガラムシ・ハダニ,他のゴムの木より成長が遅く、過湿にやや弱いので水のやりすぎに注意。,春に形を整える程度。先祖返り（緑一色になった枝）は早めに切る。,注意（白い樹液に注意）,北欧 / シャビーシック / フレンチモダン,可愛いハート型の斑入り葉によるインテリア性の高さ,花言葉「永久の幸せ」「望みを叶える」,結婚祝い / 女性への新築祝い / 一人暮らし,通年安定（斑入りはスポット入荷多）,室内・斑入り・デザイン鉢コーナー,"4号鉢：2,500円 / 6号鉢：7,000円",
エラスティカ バーガンディ,Ficus elastica 'Burgundy',Burgundy rubber plant / 黒ゴム,クワ科フィカス属,熱帯アジア（園芸品種）,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング / インダストリアル空間,土が乾いたらたっぷり（乾燥気味に）,新芽が真っ赤で、開くと黒みを帯びた濃厚な艶葉になる。非常に強健。,普通,初心者向け,常緑性高木,通年（葉の見頃）,葉：肉厚で光沢のある、黒に近い濃いバーガンディ（紫黒色）,樹高0.5m〜2m,早い,観葉植物の土（水はけ重視）,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,非常にタフで日陰にも比較的耐えるが、日に当てた方が葉の色が深く美しくなる。,春〜夏、一本立ちから枝分かれさせたい場合は、好みの高さで芯を止める。,注意（白い樹液に注意）,インダストリアル / モダン / 男前・シック,シックで重厚感のある黒葉による圧倒的な引き締め効果,花言葉「永久の幸せ」「望みを叶える」,新築祝い / 開店祝い（バーやアパレル店） / カフェ,通年安定,室内・定番ゴムの木・モダンコーナー,"5号鉢：2,800円 / 8号直立ち：12,000円",
エラスティカ ソフィア,Ficus elastica 'Sofia',Ficus Sofia,クワ科フィカス属,熱帯アジア（園芸品種）,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング,土が乾いたらたっぷり,バーガンディの血を引くが、こちらは葉が丸っこくコンパクトにまとまる品種。,普通,初心者向け,常緑性低木〜中木,通年（葉の見頃）,葉：肉厚で丸みのある小ぶりの葉、濃緑で光沢が強い,樹高0.3m〜1.5m,普通,観葉植物の土,春（5〜7月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,通常のインドゴムの木より場所を取らず、スタイリッシュに管理できる。葉水推奨。,春に形を整える剪定。どこから切っても比較的容易に芽吹く。,注意（白い樹液に注意）,モダン / ミニマル / 北欧,コンパクトで可愛らしい丸葉のゴムの木,花言葉「永久の幸せ」「望みを叶える」,一人暮らし / 引越し祝い / デスクサイド用,通年安定,室内・中鉢コーナー,"4号鉢：1,800円 / 6号鉢：5,000円",
エラスティカ アポロ,Ficus elastica 'Apollo',Apollo rubber tree,クワ科フィカス属,熱帯アジア（園芸品種）,中（半日陰OK）〜低,5℃以上（室内管理）,強い / 普通,室内リビング / オフィス,土が乾いたらたっぷり（乾燥気味に）,葉がデコボコと波打つ、非常に個性的なコンパクト系のゴムの木。頑強。,普通,初心者向け,常緑性低木〜中木,通年（葉の見頃）,葉：肉厚で非常に濃い緑、表面がボコボコと立体的に波打つ,樹高0.3m〜1.5m,遅い,観葉植物の土（水はけ重視）,春（5〜7月）、2〜3年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,根腐れ,カイガラムシ・ハダニ,成長が比較的遅く、樹形が崩れにくいため室内で非常に管理しやすい。,頻繁な剪定は不要。春に全体のバランスを見て不要な枝を払う程度。,注意（白い樹液に注意）,インダストリアル / モダン / 個性的・男前,クシャッとした彫刻的な葉のテクスチャーによる独特の存在感,花言葉「永久の幸せ」「望みを叶える」,新築祝い / 男性へのギフト / 店舗のアクセントグリーン,スポット入荷（やや希少）,室内・個性派観葉コーナー,"5号鉢：3,500円 / 7号鉢：8,000円",
シャングリラ,Ficus pumila 'Shangri-La',つる性ガジュマル,クワ科フィカス属,日本（沖縄）〜東南アジア（原種の園芸品種）,中（半日陰OK）〜低,5℃以上（室内管理推奨、暖地は屋外可）,強い / 普通（水切れ注意）,室内リビング（ハンギング） / 浴室（窓際）,土が乾いたらたっぷり（水切れに弱い）,「つる性ガジュマル」として流通。ガジュマルのタフさとプミラのつる性を併せ持つ。,普通,初心者向け,常緑性つる性低木,通年（葉の見頃）,葉：小ぶりでウェーブがかかった光沢のある濃緑葉,つるの長さ0.2m〜1m,早い,観葉植物の土（保水性のあるもの）,春（5〜7月）、毎年〜2年に1回,春〜秋の生育期に緩効性肥料、または定期的液肥,根腐れ・水切れによる葉枯れ,ハダニ・アブラムシ,水切れすると葉がチリチリになって落ちるため、ハンギング時は特に注意。葉水必須。,つるが伸びすぎたら、春〜秋の間にいつでも好みの長さにカットできる。,注意（白い樹液に注意）,北欧 / ナチュラル / アジアン,ハンギングバスケットからしだれる涼しげなインテリア性,健康 / 花言葉「健康」「たくさんの幸せ」,一人暮らし / ハンギングを楽しみたい方へのギフト,通年安定（インテリアグリーンとして定番）,室内・ハンギング・ミニ観葉コーナー,"3号ポット：600円 / 5号ハンギング鉢：2,800円",
